character
Aragorn II
Arwen
Bilbo Baggins
Frodo Baggins
Beregond (Captain)
Bergil
Fredegar Bolger
Tom Bombadil
Boromir
Meriadoc Brandybuck
Barliman Butterbur
Celeborn
Category:Characters that have appeared in the Hobbit and the Lord of the Rings
Denethor II
Elladan and Elrohir
Elrond
Éomer
Éowyn
Faramir
Galadriel
Samwise Gamgee
Gamling
Gandalf
Ghân-buri-Ghân
Gildor Inglorion
Gimli
Glorfindel
Goldberry
Gollum
Gorbag
Grimbold
Gwaihir
Imrahil
Legolas
Lugdush
Category:Major characters (The Lord of the Rings)
Mauhúr
Category:Minor characters (The Lord of the Rings)
Rowlie Appledore
Saruman
Shagrat
Shelob
Smaug
Théoden
Adelard Took
Peregrin Took
Treebeard
Witch-king of Angmar
Witch-king's winged steed
Gríma
